Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,0.901226,0.909835,0.892937,0.893655,0.893655,0
2014-09-22,0.894135,0.895175,0.875044,0.875273,0.875273,0
2014-09-29,0.873820,0.881834,0.864454,0.865801,0.865801,0
2014-10-06,0.866326,0.889996,0.866026,0.866101,0.866101,0
2014-10-13,0.867754,0.883002,0.865726,0.875964,0.875964,0
2014-10-20,0.875657,0.883002,0.872448,0.879972,0.879972,0
2014-10-27,0.880592,0.891186,0.873523,0.874814,0.874814,0
2014-11-03,0.875273,0.876194,0.854190,0.864439,0.864439,0
2014-11-10,0.864379,0.878426,0.859254,0.875273,0.875273,0
2014-11-17,0.875197,0.879507,0.856825,0.868056,0.868056,0
2014-11-24,0.867980,0.870322,0.844096,0.844309,0.844309,0
2014-12-01,0.843811,0.854117,0.829497,0.830772,0.830772,0
2014-12-08,0.830634,0.837451,0.820951,0.821423,0.821423,0
2014-12-15,0.821220,0.827404,0.811886,0.814863,0.814863,0
2014-12-22,0.814730,0.817394,0.809258,0.811622,0.811622,0
2014-12-29,0.811557,0.821693,0.805542,0.806777,0.806777,0
2015-01-05,0.807363,0.823113,0.803729,0.822233,0.822233,0
2015-01-12,0.822233,0.829394,0.807037,0.822707,0.822707,0
2015-01-19,0.822707,0.824334,0.785978,0.787588,0.787588,0
2015-01-26,0.788146,0.802375,0.773395,0.778210,0.778210,0
2015-02-02,0.778028,0.787402,0.762776,0.776096,0.776096,0
2015-02-09,0.776398,0.784191,0.764818,0.776578,0.776578,0
2015-02-16,0.776880,0.785299,0.775855,0.784621,0.784621,0
2015-02-23,0.784560,0.791264,0.773994,0.778574,0.778574,0
2015-03-02,0.778755,0.785978,0.770588,0.772260,0.772260,0
2015-03-09,0.772082,0.773994,0.756315,0.761615,0.761615,0
2015-03-16,0.761847,0.780884,0.759301,0.778392,0.778392,0
2015-03-23,0.778392,0.793714,0.773096,0.773455,0.773455,0
2015-03-30,0.773575,0.773994,0.753523,0.764409,0.764409,0
2015-04-06,0.764117,0.773994,0.757863,0.766930,0.766930,0
2015-04-13,0.766577,0.784437,0.755344,0.780945,0.780945,0
2015-04-20,0.780640,0.784006,0.768521,0.783331,0.783331,0
2015-04-27,0.783392,0.807559,0.779484,0.783024,0.783024,0
2015-05-04,0.782656,0.803084,0.780457,0.792581,0.792581,0
2015-05-11,0.792267,0.816326,0.787836,0.804699,0.804699,0
2015-05-18,0.804505,0.804699,0.782105,0.790202,0.790202,0
2015-05-25,0.781189,0.784314,0.761847,0.765814,0.765814,0
2015-06-01,0.764000,0.781861,0.760225,0.768817,0.768817,0
2015-06-08,0.761731,0.778877,0.760803,0.774887,0.774887,0
2015-06-15,0.772678,0.785114,0.766166,0.778998,0.778998,0
2015-06-22,0.776820,0.779788,0.763242,0.773395,0.773395,0
2015-06-29,0.762079,0.773694,0.751089,0.763884,0.763884,0
2015-07-06,0.748839,0.753125,0.737626,0.746102,0.746102,0
2015-07-13,0.742170,0.748951,0.735186,0.741510,0.741510,0
2015-07-20,0.736920,0.744657,0.726216,0.735619,0.735619,0
2015-07-27,0.727590,0.736377,0.723694,0.729448,0.729448,0
2015-08-03,0.730087,0.742887,0.726480,0.734538,0.734538,0
2015-08-10,0.739973,0.743882,0.722596,0.737517,0.737517,0
2015-08-17,0.736974,0.738880,0.728597,0.733730,0.733730,0
2015-08-24,0.725479,0.727696,0.707314,0.717412,0.717412,0
2015-08-31,0.713980,0.715922,0.691181,0.701902,0.701902,0
2015-09-07,0.693577,0.709019,0.691706,0.707114,0.707114,0
2015-09-14,0.710278,0.728014,0.706614,0.718907,0.718907,0
2015-09-21,0.719321,0.719891,0.694252,0.701164,0.701164,0
2015-09-28,0.702198,0.708516,0.693914,0.703680,0.703680,0
2015-10-05,0.704672,0.734592,0.704473,0.726744,0.726744,0
2015-10-12,0.731101,0.738225,0.720825,0.732923,0.732923,0
2015-10-19,0.725953,0.730727,0.718804,0.721188,0.721188,0
