date,price,percentChange,change,week_id,week_of_month
2009-09-01 00:00:00+00:00,70.61,0.929,0.65,2009-08-31/2009-09-06,1
2009-10-01 00:00:00+00:00,77.0,9.05,6.39,2009-09-28/2009-10-04,1
2009-11-01 00:00:00+00:00,77.28,0.364,0.28,2009-10-26/2009-11-01,1
2009-12-01 00:00:00+00:00,79.36,2.692,2.08,2009-11-30/2009-12-06,1
2010-01-01 00:00:00+00:00,72.89,-8.153,-6.47,2009-12-28/2010-01-03,1
2010-02-01 00:00:00+00:00,79.66,9.288,6.77,2010-02-01/2010-02-07,1
2010-03-01 00:00:00+00:00,83.76,5.147,4.1,2010-03-01/2010-03-07,1
2010-04-01 00:00:00+00:00,86.15,2.853,2.39,2010-03-29/2010-04-04,1
2010-05-01 00:00:00+00:00,73.97,-14.138,-12.18,2010-04-26/2010-05-02,1
2010-06-01 00:00:00+00:00,75.63,2.244,1.66,2010-05-31/2010-06-06,1
2010-07-01 00:00:00+00:00,78.95,4.39,3.32,2010-06-28/2010-07-04,1
2010-08-01 00:00:00+00:00,71.92,-8.904,-7.03,2010-07-26/2010-08-01,1
2010-09-01 00:00:00+00:00,79.97,11.193,8.05,2010-08-30/2010-09-05,1
2010-10-01 00:00:00+00:00,81.43,1.826,1.46,2010-09-27/2010-10-03,1
2010-11-01 00:00:00+00:00,84.11,3.291,2.68,2010-11-01/2010-11-07,1
2010-12-01 00:00:00+00:00,91.38,8.643,7.27,2010-11-29/2010-12-05,1
2011-01-01 00:00:00+00:00,92.19,0.886,0.81,2010-12-27/2011-01-02,1
2011-02-01 00:00:00+00:00,96.97,5.185,4.78,2011-01-31/2011-02-06,1
2011-03-01 00:00:00+00:00,106.72,10.055,9.75,2011-02-28/2011-03-06,1
2011-04-01 00:00:00+00:00,113.93,6.756,7.21,2011-03-28/2011-04-03,1
2011-05-01 00:00:00+00:00,102.7,-9.857,-11.23,2011-04-25/2011-05-01,1
2011-06-01 00:00:00+00:00,95.42,-7.089,-7.28,2011-05-30/2011-06-05,1
2011-07-01 00:00:00+00:00,95.7,0.293,0.28,2011-06-27/2011-07-03,1
2011-08-01 00:00:00+00:00,88.81,-7.2,-6.89,2011-08-01/2011-08-07,1
2011-09-01 00:00:00+00:00,79.2,-10.821,-9.61,2011-08-29/2011-09-04,1
2011-10-01 00:00:00+00:00,93.19,17.664,13.99,2011-09-26/2011-10-02,1
2011-11-01 00:00:00+00:00,100.36,7.694,7.17,2011-10-31/2011-11-06,1
2011-12-01 00:00:00+00:00,98.83,-1.525,-1.53,2011-11-28/2011-12-04,1
2012-01-01 00:00:00+00:00,98.48,-0.354,-0.35,2011-12-26/2012-01-01,1
2012-02-01 00:00:00+00:00,107.07,8.723,8.59,2012-01-30/2012-02-05,1
2012-03-01 00:00:00+00:00,103.02,-3.783,-4.05,2012-02-27/2012-03-04,1
2012-04-01 00:00:00+00:00,104.87,1.796,1.85,2012-03-26/2012-04-01,1
2012-05-01 00:00:00+00:00,86.53,-17.488,-18.34,2012-04-30/2012-05-06,1
2012-06-01 00:00:00+00:00,84.96,-1.814,-1.57,2012-05-28/2012-06-03,1
2012-07-01 00:00:00+00:00,88.06,3.649,3.1,2012-06-25/2012-07-01,1
2012-08-01 00:00:00+00:00,96.47,9.55,8.41,2012-07-30/2012-08-05,1
2012-09-01 00:00:00+00:00,92.19,-4.437,-4.28,2012-08-27/2012-09-02,1
2012-10-01 00:00:00+00:00,86.24,-6.454,-5.95,2012-10-01/2012-10-07,1
2012-11-01 00:00:00+00:00,88.91,3.096,2.67,2012-10-29/2012-11-04,1
2012-12-01 00:00:00+00:00,91.82,3.273,2.91,2012-11-26/2012-12-02,1
2013-01-01 00:00:00+00:00,97.49,6.175,5.67,2012-12-31/2013-01-06,1
2013-02-01 00:00:00+00:00,92.05,-5.58,-5.44,2013-01-28/2013-02-03,1
2013-03-01 00:00:00+00:00,97.23,5.627,5.18,2013-02-25/2013-03-03,1
2013-04-01 00:00:00+00:00,93.46,-3.877,-3.77,2013-04-01/2013-04-07,1
2013-05-01 00:00:00+00:00,91.97,-1.594,-1.49,2013-04-29/2013-05-05,1
2013-06-01 00:00:00+00:00,96.56,4.991,4.59,2013-05-27/2013-06-02,1
2013-07-01 00:00:00+00:00,105.03,8.772,8.47,2013-07-01/2013-07-07,1
2013-08-01 00:00:00+00:00,107.65,2.495,2.62,2013-07-29/2013-08-04,1
2013-09-01 00:00:00+00:00,102.33,-4.942,-5.32,2013-08-26/2013-09-01,1
2013-10-01 00:00:00+00:00,96.38,-5.815,-5.95,2013-09-30/2013-10-06,1
2013-11-01 00:00:00+00:00,92.72,-3.797,-3.66,2013-10-28/2013-11-03,1
2013-12-01 00:00:00+00:00,98.42,6.148,5.7,2013-11-25/2013-12-01,1
2014-01-01 00:00:00+00:00,97.49,-0.945,-0.93,2013-12-30/2014-01-05,1
2014-02-01 00:00:00+00:00,102.59,5.231,5.1,2014-01-27/2014-02-02,1
2014-03-01 00:00:00+00:00,101.58,-0.985,-1.01,2014-02-24/2014-03-02,1
2014-04-01 00:00:00+00:00,99.74,-1.811,-1.84,2014-03-31/2014-04-06,1
2014-05-01 00:00:00+00:00,102.71,2.978,2.97,2014-04-28/2014-05-04,1
2014-06-01 00:00:00+00:00,105.37,2.59,2.66,2014-05-26/2014-06-01,1
2014-07-01 00:00:00+00:00,98.17,-6.833,-7.2,2014-06-30/2014-07-06,1
2014-08-01 00:00:00+00:00,95.96,-2.251,-2.21,2014-07-28/2014-08-03,1
2014-09-01 00:00:00+00:00,91.16,-5.002,-4.8,2014-09-01/2014-09-07,1
2014-10-01 00:00:00+00:00,80.54,-11.65,-10.62,2014-09-29/2014-10-05,1
2014-11-01 00:00:00+00:00,66.15,-17.867,-14.39,2014-10-27/2014-11-02,1
2014-12-01 00:00:00+00:00,53.27,-19.471,-12.88,2014-12-01/2014-12-07,1
2015-01-01 00:00:00+00:00,48.24,-9.442,-5.03,2014-12-29/2015-01-04,1
2015-02-01 00:00:00+00:00,49.76,3.151,1.52,2015-01-26/2015-02-01,1
2015-03-01 00:00:00+00:00,47.6,-4.341,-2.16,2015-02-23/2015-03-01,1
2015-04-01 00:00:00+00:00,59.63,25.273,12.03,2015-03-30/2015-04-05,1
2015-05-01 00:00:00+00:00,60.3,1.124,0.67,2015-04-27/2015-05-03,1
2015-06-01 00:00:00+00:00,59.47,-1.376,-0.83,2015-06-01/2015-06-07,1
2015-07-01 00:00:00+00:00,47.12,-20.767,-12.35,2015-06-29/2015-07-05,1
2015-08-01 00:00:00+00:00,49.2,4.414,2.08,2015-07-27/2015-08-02,1
2015-09-01 00:00:00+00:00,45.09,-8.354,-4.11,2015-08-31/2015-09-06,1
2015-10-01 00:00:00+00:00,46.59,3.327,1.5,2015-09-28/2015-10-04,1
2015-11-01 00:00:00+00:00,41.65,-10.603,-4.94,2015-10-26/2015-11-01,1
2015-12-01 00:00:00+00:00,37.04,-11.068,-4.61,2015-11-30/2015-12-06,1
2016-01-01 00:00:00+00:00,33.62,-9.233,-3.42,2015-12-28/2016-01-03,1
2016-02-01 00:00:00+00:00,33.75,0.387,0.13,2016-02-01/2016-02-07,1
2016-03-01 00:00:00+00:00,38.34,13.6,4.59,2016-02-29/2016-03-06,1
2016-04-01 00:00:00+00:00,45.92,19.77,7.58,2016-03-28/2016-04-03,1
2016-05-01 00:00:00+00:00,49.1,6.925,3.18,2016-04-25/2016-05-01,1
2016-06-01 00:00:00+00:00,48.33,-1.568,-0.77,2016-05-30/2016-06-05,1
2016-07-01 00:00:00+00:00,41.6,-13.925,-6.73,2016-06-27/2016-07-03,1
2016-08-01 00:00:00+00:00,44.7,7.452,3.1,2016-08-01/2016-08-07,1
2016-09-01 00:00:00+00:00,48.24,7.919,3.54,2016-08-29/2016-09-04,1
2016-10-01 00:00:00+00:00,46.86,-2.861,-1.38,2016-09-26/2016-10-02,1
2016-11-01 00:00:00+00:00,49.44,5.506,2.58,2016-10-31/2016-11-06,1
2016-12-01 00:00:00+00:00,53.72,8.657,4.28,2016-11-28/2016-12-04,1
2017-01-01 00:00:00+00:00,52.81,-1.694,-0.91,2016-12-26/2017-01-01,1
2017-02-01 00:00:00+00:00,54.01,2.272,1.2,2017-01-30/2017-02-05,1
2017-03-01 00:00:00+00:00,50.6,-6.314,-3.41,2017-02-27/2017-03-05,1
2017-04-01 00:00:00+00:00,49.21,-2.747,-1.39,2017-03-27/2017-04-02,1
2017-05-01 00:00:00+00:00,48.32,-1.809,-0.89,2017-05-01/2017-05-07,1
2017-06-01 00:00:00+00:00,46.04,-4.719,-2.28,2017-05-29/2017-06-04,1
2017-07-01 00:00:00+00:00,50.17,8.97,4.13,2017-06-26/2017-07-02,1
2017-08-01 00:00:00+00:00,47.23,-5.86,-2.94,2017-07-31/2017-08-06,1
2017-09-01 00:00:00+00:00,51.67,9.401,4.44,2017-08-28/2017-09-03,1
2017-10-01 00:00:00+00:00,54.38,5.245,2.71,2017-09-25/2017-10-01,1
2017-11-01 00:00:00+00:00,57.4,5.554,3.02,2017-10-30/2017-11-05,1
2017-12-01 00:00:00+00:00,60.42,5.261,3.02,2017-11-27/2017-12-03,1
2018-01-01 00:00:00+00:00,64.73,7.133,4.31,2018-01-01/2018-01-07,1
2018-02-01 00:00:00+00:00,61.64,-4.774,-3.09,2018-01-29/2018-02-04,1
2018-03-01 00:00:00+00:00,64.94,5.354,3.3,2018-02-26/2018-03-04,1
2018-04-01 00:00:00+00:00,68.57,5.59,3.63,2018-03-26/2018-04-01,1
2018-05-01 00:00:00+00:00,67.04,-2.231,-1.53,2018-04-30/2018-05-06,1
2018-06-01 00:00:00+00:00,74.15,10.606,7.11,2018-05-28/2018-06-03,1
2018-07-01 00:00:00+00:00,68.76,-7.269,-5.39,2018-06-25/2018-07-01,1
2018-08-01 00:00:00+00:00,69.9977,1.8,1.2377,2018-07-30/2018-08-05,1
2018-09-01 00:00:00+00:00,73.5992,5.145,3.6015,2018-08-27/2018-09-02,1
2018-10-01 00:00:00+00:00,65.31,-11.263,-8.2892,2018-10-01/2018-10-07,1
2018-11-01 00:00:00+00:00,50.93,-22.018,-14.38,2018-10-29/2018-11-04,1
2018-12-01 00:00:00+00:00,45.41,-10.838,-5.52,2018-11-26/2018-12-02,1
2019-01-01 00:00:00+00:00,53.79,18.454,8.38,2018-12-31/2019-01-06,1
2019-02-01 00:00:00+00:00,57.22,6.377,3.43,2019-01-28/2019-02-03,1
2019-03-01 00:00:00+00:00,60.14,5.103,2.92,2019-02-25/2019-03-03,1
2019-04-01 00:00:00+00:00,63.91,6.269,3.77,2019-04-01/2019-04-07,1
2019-05-01 00:00:00+00:00,53.5,-16.289,-10.41,2019-04-29/2019-05-05,1
2019-06-01 00:00:00+00:00,59.4601,11.14,5.9601,2019-05-27/2019-06-02,1
2019-07-01 00:00:00+00:00,58.58,-1.48,-0.8801,2019-07-01/2019-07-07,1
2019-08-01 00:00:00+00:00,55.1,-5.941,-3.48,2019-07-29/2019-08-04,1
2019-09-01 00:00:00+00:00,54.07,-1.869,-1.03,2019-08-26/2019-09-01,1
