Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,1.625831,1.652510,1.616606,1.630603,1.630603,0
2014-09-22,1.631348,1.641497,1.622271,1.624115,1.624115,0
2014-09-29,1.624511,1.628797,1.594693,1.596195,1.596195,0
2014-10-06,1.596373,1.622507,1.596297,1.609399,1.609399,0
2014-10-13,1.609140,1.613710,1.588007,1.609062,1.609062,0
2014-10-20,1.609192,1.618699,1.599667,1.609269,1.609269,0
2014-10-27,1.609192,1.618306,1.595278,1.597495,1.597495,0
2014-11-03,1.597214,1.602410,1.579804,1.588487,1.588487,0
2014-11-10,1.588335,1.594007,1.559697,1.566809,1.566809,0
2014-11-17,1.566784,1.573589,1.559600,1.564847,1.564847,0
2014-11-24,1.564676,1.581828,1.560963,1.561305,1.561305,0
2014-12-01,1.561670,1.576193,1.556493,1.556687,1.556687,0
2014-12-08,1.556808,1.575796,1.554388,1.573267,1.573267,0
2014-12-15,1.572896,1.577635,1.555500,1.562866,1.562866,0
2014-12-22,1.562940,1.566711,1.548995,1.555379,1.555379,0
2014-12-29,1.555307,1.562109,1.520519,1.528491,1.528491,0
2015-01-05,1.528608,1.532004,1.503624,1.518949,1.518949,0
2015-01-12,1.519203,1.526601,1.508000,1.514211,1.514211,0
2015-01-19,1.514394,1.521399,1.495461,1.499588,1.499588,0
2015-01-26,1.500195,1.522209,1.499340,1.508705,1.508705,0
2015-02-02,1.508409,1.535179,1.499205,1.523902,1.523902,0
2015-02-09,1.523995,1.543496,1.520150,1.540049,1.540049,0
2015-02-16,1.540310,1.546695,1.531863,1.538911,1.538911,0
2015-02-23,1.538722,1.555403,1.533390,1.540618,1.540618,0
2015-03-02,1.540618,1.542210,1.503307,1.505775,1.505775,0
2015-03-09,1.505797,1.512631,1.471454,1.475579,1.475579,0
2015-03-16,1.475514,1.501006,1.463700,1.494322,1.494322,0
2015-03-23,1.494523,1.499250,1.479947,1.488583,1.488583,0
2015-03-30,1.488516,1.494590,1.474709,1.493072,1.493072,0
2015-04-06,1.492270,1.498172,1.459002,1.464064,1.464064,0
2015-04-13,1.464086,1.505299,1.457365,1.496827,1.496827,0
2015-04-20,1.496513,1.518972,1.485884,1.517658,1.517658,0
2015-04-27,1.517520,1.549427,1.511030,1.514670,1.514670,0
2015-05-04,1.515611,1.552193,1.509183,1.543400,1.543400,0
2015-05-11,1.543901,1.581303,1.539883,1.574605,1.574605,0
2015-05-18,1.573911,1.573911,1.545595,1.549091,1.549091,0
2015-05-25,1.547748,1.550869,1.524158,1.531910,1.531910,0
2015-06-01,1.528795,1.544163,1.517451,1.536500,1.536500,0
2015-06-08,1.526531,1.559819,1.522302,1.550893,1.550893,0
2015-06-15,1.556105,1.593143,1.548947,1.587881,1.587881,0
2015-06-22,1.587302,1.591090,1.567644,1.574506,1.574506,0
2015-06-29,1.569612,1.578906,1.556614,1.561305,1.561305,0
2015-07-06,1.555500,1.562500,1.533907,1.537397,1.537397,0
2015-07-13,1.551903,1.567398,1.545356,1.561305,1.561305,0
2015-07-20,1.560452,1.567152,1.547149,1.551952,1.551952,0
2015-07-27,1.552409,1.568874,1.549427,1.560428,1.560428,0
2015-08-03,1.562305,1.564994,1.542710,1.551422,1.551422,0
2015-08-10,1.549211,1.566171,1.546025,1.561792,1.561792,0
2015-08-17,1.564994,1.572500,1.556420,1.569095,1.569095,0
2015-08-24,1.566760,1.581778,1.533978,1.541402,1.541402,0
2015-08-31,1.541711,1.544163,1.517082,1.526205,1.526205,0
2015-09-07,1.519410,1.547700,1.517451,1.544211,1.544211,0
2015-09-14,1.544712,1.565925,1.533272,1.556905,1.556905,0
2015-09-21,1.552482,1.556905,1.514693,1.522696,1.522696,0
2015-09-28,1.520496,1.523926,1.511030,1.513913,1.513913,0
2015-10-05,1.518741,1.538698,1.514234,1.535132,1.535132,0
2015-10-12,1.532191,1.550869,1.520450,1.547197,1.547197,0
2015-10-19,1.543805,1.550628,1.532896,1.538367,1.538367,0
2015-10-26,1.531698,1.544402,1.524599,1.542900,1.542900,0
2015-11-02,1.544211,1.549907,1.503759,1.505095,1.505095,0
2015-11-09,1.505367,1.526252,1.505163,1.523508,1.523508,0
2015-11-16,1.522209,1.531159,1.515795,1.519503,1.519503,0
2015-11-23,1.519018,1.519295,1.503420,1.503443,1.503443,0
2015-11-30,1.503782,1.515841,1.491647,1.511305,1.511305,0
2015-12-07,1.511259,1.522997,1.495864,1.521908,1.521908,0
2015-12-14,1.519988,1.520681,1.488317,1.489381,1.489381,0
2015-12-21,1.490980,1.494768,1.482206,1.491803,1.491803,0
2015-12-28,1.492537,1.493206,1.472884,1.473709,1.473709,0
2016-01-04,1.473991,1.481701,1.450305,1.452496,1.452496,0
2016-01-11,1.452897,1.460494,1.425496,1.427409,1.427409,0
2016-01-18,1.427409,1.435956,1.408848,1.426005,1.426005,0
2016-01-25,1.425700,1.441545,1.417836,1.424603,1.424603,0
2016-02-01,1.424481,1.466813,1.423893,1.451210,1.451210,0
2016-02-08,1.451210,1.457939,1.435750,1.451800,1.451800,0
2016-02-15,1.452222,1.453805,1.423893,1.426595,1.426595,0
2016-02-22,1.427002,1.430104,1.386001,1.386194,1.386194,0
2016-02-29,1.386501,1.423690,1.383892,1.421504,1.421504,0
2016-03-07,1.421302,1.439367,1.412429,1.438001,1.438001,0
2016-03-14,1.437814,1.451379,1.405679,1.446801,1.446801,0
2016-03-21,1.446341,1.446906,1.405975,1.413108,1.413108,0
2016-03-28,1.413308,1.445922,1.412310,1.422455,1.422455,0
2016-04-04,1.422678,1.432254,1.400756,1.413008,1.413008,0
2016-04-11,1.413408,1.434720,1.409443,1.417434,1.417434,0
2016-04-18,1.418440,1.447408,1.413428,1.444669,1.444669,0
2016-04-25,1.444878,1.466706,1.440590,1.460280,1.460280,0
2016-05-02,1.460494,1.476887,1.441441,1.443085,1.443085,0
2016-05-09,1.442793,1.453066,1.434185,1.434926,1.434926,0
2016-05-16,1.435338,1.466082,1.433610,1.449065,1.449065,0
2016-05-23,1.449191,1.473861,1.444586,1.462651,1.462651,0
2016-05-30,1.462459,1.472581,1.436183,1.438394,1.438394,0
2016-06-06,1.439222,1.460878,1.416711,1.418882,1.418882,0
2016-06-13,1.419064,1.461155,1.401502,1.458598,1.458598,0
2016-06-20,1.458704,1.494701,1.323925,1.345098,1.345098,0
